robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
20,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
40,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
60,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
80,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
100,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
120,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
140,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
160,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
180,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
200,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
220,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
240,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
260,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
280,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
300,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
320,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
340,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
360,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
380,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
400,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
420,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
440,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
460,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
480,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
500,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
520,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
540,-0.000000,-0.000000,2,0.138159,0.108166,3.760004,1,-0.675804,0.084175,3.745014
