robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
40,0.000000,0.000000,1,0.431026,0.156483,1.508122,2,-9999.000000,-9999.000000,-9999.000000
80,0.000000,0.000000,1,0.431026,0.156483,1.508122,2,-9999.000000,-9999.000000,-9999.000000
120,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
160,0.000000,0.000000,1,0.431026,0.156483,1.508122,2,-9999.000000,-9999.000000,-9999.000000
200,0.000000,0.000000,1,0.418514,0.150941,1.464297,2,-9999.000000,-9999.000000,-9999.000000
240,0.000000,0.000000,1,0.418514,0.150941,1.464297,2,-9999.000000,-9999.000000,-9999.000000
280,0.000000,0.000000,3,-0.371675,0.158727,1.518068,1,0.431026,0.156483,1.508122
320,0.000000,0.000000,3,-0.371675,0.158727,1.518068,1,0.431026,0.156483,1.508122
360,0.000000,0.000000,1,0.418514,0.150941,1.464297,2,-9999.000000,-9999.000000,-9999.000000
400,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
440,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
480,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
520,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
560,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
600,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
640,0.000000,0.000000,1,0.721732,0.135115,1.433835,3,-0.074744,0.136797,1.500242
680,0.000000,0.000000,1,0.715959,0.136861,1.430656,3,-0.078827,0.136796,1.500096
720,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
760,0.000000,0.000000,1,0.719281,0.137258,1.434746,3,-0.076484,0.136203,1.494267
800,0.000000,0.000000,3,-0.074744,0.136797,1.500242,2,-9999.000000,-9999.000000,-9999.000000
840,0.000000,0.000000,1,0.750210,0.141325,1.487842,3,-0.074744,0.136797,1.500242
880,0.000000,0.000000,1,0.750210,0.141325,1.487842,3,-0.074744,0.136797,1.500242
920,0.000000,0.000000,1,0.720133,0.136841,1.429117,3,-0.074744,0.136797,1.500242
960,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
