robot1
td,wD,wI,id,degree,bx,by,id,degree,bx,by
0,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.471,0.268132,-0.963382
0.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.9407,-0.997844,-0.065636
1.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.9407,-0.997844,-0.065636
2.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.7841,0.925146,-0.379612
2.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.6276,-0.664152,0.747598
3.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.7841,0.925146,-0.379612
4.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393
4.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.6276,-0.664152,0.747598
5.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,36.7234,-0.696605,0.717455
6.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,36.7234,-0.696605,0.717455
7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,36.2538,-0.560374,-0.828240
7.7,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.7841,0.925146,-0.379612
8.4,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,34.6883,0.907494,-0.420065
9.1,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
9.8,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.6276,-0.664152,0.747598
10.5,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.471,0.268132,-0.963382
11.2,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.1579,-0.596375,-0.802706
11.9,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.0014,0.888487,0.458902
12.6,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.471,0.268132,-0.963382
13.3,0.000000,0.000000,3,-44.0566,-0.999910,-0.013393,2,35.3145,0.182882,0.983135
