robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
100,-0.000000,0.000000,2,-0.329095,0.208156,0.955215,3,0.528349,0.137834,0.529052
200,-0.000000,-0.000000,2,-0.329095,0.208156,0.955215,3,0.528349,0.137834,0.529052
300,0.000000,0.000000,2,-0.329095,0.208156,0.955215,3,0.528349,0.137834,0.529052
400,-0.000000,-0.000000,2,-0.343986,0.216089,0.998464,3,0.528594,0.138000,0.530185
500,-0.000000,-0.000000,2,-0.323548,0.210871,0.955919,3,0.528594,0.138000,0.530185
600,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
700,-0.000000,-0.000000,2,-0.300969,0.206604,0.920072,3,0.528349,0.137834,0.529052
800,0.000000,0.000000,2,-0.290427,0.208632,0.912736,3,0.528349,0.137834,0.529052
900,0.000000,0.000000,2,-0.263584,0.201724,0.864619,3,0.528349,0.137834,0.529052
1000,-0.000000,-0.000000,2,-0.254900,0.202830,0.859550,3,0.528594,0.138000,0.530185
1100,0.000000,0.000000,2,-0.240072,0.202028,0.845766,3,0.528349,0.137834,0.529052
1200,-0.000000,-0.000000,2,-0.215576,0.197079,0.812807,3,0.520969,0.135530,0.522648
1300,-0.000000,-0.000000,2,-0.178441,0.192802,0.780909,3,0.528349,0.137834,0.529052
1400,-0.000000,-0.000000,2,-0.160430,0.196052,0.778161,3,0.528349,0.137834,0.529052
1500,-0.000000,-0.000000,2,-0.143057,0.189810,0.742961,3,0.520969,0.135530,0.522648
1600,0.000000,0.000000,2,-0.118983,0.188602,0.722840,3,0.528594,0.138000,0.530185
1700,-0.000000,-0.000000,2,-0.107296,0.192491,0.730567,3,0.528349,0.137834,0.529052
1800,-0.000000,-0.000000,2,-0.081200,0.184073,0.685139,3,0.528594,0.138000,0.530185
1900,0.000000,0.000000,2,-0.085031,0.183682,0.692946,3,0.528349,0.137834,0.529052
2000,0.000000,0.000000,2,-0.095424,0.185762,0.712092,3,0.528594,0.138000,0.530185
2100,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2200,0.000000,0.000000,3,0.528349,0.137834,0.529052,2,-9999.000000,-9999.000000,-9999.000000
2300,-0.000000,-0.000000,2,-0.158195,0.196755,0.781283,3,0.528594,0.138000,0.530185
2400,-0.000000,-0.000000,2,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2500,0.000000,0.000000,3,0.528349,0.137834,0.529052,2,-0.205929,0.197395,0.800704
2600,-0.000000,-0.000000,3,0.528349,0.137834,0.529052,2,-9999.000000,-9999.000000,-9999.000000
2700,0.000000,0.000000,3,0.528349,0.137834,0.529052,2,-9999.000000,-9999.000000,-9999.000000
2800,-0.000000,-0.000000,2,-0.304658,0.207115,0.860165,3,0.528737,0.138143,0.531134
2900,0.000000,0.000000,2,-0.320912,0.208144,0.863790,3,0.528594,0.138000,0.530185
