robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
20,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
40,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.792076,0.237534,1.028105
60,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
80,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
100,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
120,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
140,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
160,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
180,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
200,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
220,0.000000,0.000000,3,0.280398,0.172489,0.451701,2,-0.780788,0.234422,1.014625
240,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.792076,0.237534,1.028105
260,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.792076,0.237534,1.028105
280,0.000000,0.000000,3,0.282310,0.173532,0.455588,2,-0.792076,0.237534,1.028105
300,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
320,0.000000,0.000000,3,0.284256,0.175202,0.457800,2,-0.780788,0.234422,1.014625
340,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
360,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
380,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
400,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
420,0.000000,0.000000,3,0.286283,0.176314,0.461879,2,-0.780788,0.234422,1.014625
