robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
20,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
40,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
60,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
80,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
100,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
120,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
140,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
160,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
180,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
200,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
220,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
240,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
260,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
280,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.584347,0.151797,1.414655
300,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
320,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
340,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,3,-0.586879,0.152231,1.418086
360,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
380,-0.000000,-0.000000,3,-0.605659,0.158558,1.467509,1,0.220072,0.152851,1.489141
400,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
420,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
440,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
460,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
480,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
500,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
520,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
540,-0.000000,-0.000000,3,-0.604963,0.158046,1.462877,1,0.220072,0.152851,1.489141
560,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
580,-0.000000,-0.000000,1,0.220072,0.152851,1.489141,900,-9999.000000,-9999.000000,-9999.000000
